TRANSACTION_ID,CUST_ID,AMOUNT,TRANSACTION_TYPE,TRANSACTION_DATE,DESCRIPTION
1,4424,3312.9,Purchase,2024-09-21,Purchase from gas station
2,1245,4903.32,Refund,2024-04-09,Refund for returned item
3,8610,3898.82,Payment,2024-07-21,Payment via credit card
4,9537,3444.4,Refund,2025-07-16,Refund for returned item
5,7360,223.77,Refund,2024-10-19,Refund for returned item
6,9731,1093.08,Payment,2024-11-03,Payment via credit card
7,7597,2421.57,Payment,2024-02-23,Payment via credit card
8,8830,1004.36,Purchase,2023-12-03,Purchase from grocery
9,9972,4165.17,Purchase,2024-08-23,Purchase from electronics
10,4358,4862.42,Deposit,2024-06-04,Check deposit
11,5365,3227.85,Deposit,2023-12-29,Check deposit
12,3312,4233.89,Deposit,2023-12-16,Check deposit
13,1951,1458.13,Withdrawal,2023-08-25,Cash withdrawal from ATM
14,1896,565.12,Payment,2025-02-11,Payment via mobile app
15,2091,2435.65,Payment,2024-11-22,Payment via bank transfer
16,5059,3106.74,Refund,2025-05-24,Refund for returned item
17,776,463.66,Purchase,2023-09-16,Purchase from clothing
18,4788,990.83,Payment,2025-01-18,Payment via cash
19,6973,420.31,Refund,2024-05-24,Refund for returned item
20,9861,2194.33,Deposit,2024-04-09,Check deposit
21,9329,2896.18,Deposit,2023-09-13,Check deposit
22,3145,4057.82,Withdrawal,2023-10-02,Cash withdrawal from ATM
23,2647,355.04,Deposit,2025-06-05,Check deposit
24,9842,3800.07,Refund,2025-03-04,Refund for returned item
25,7651,4962.83,Deposit,2025-07-25,Check deposit
26,4853,1758.37,Withdrawal,2024-04-08,Cash withdrawal from ATM
27,9686,2962.0,Withdrawal,2024-02-14,Cash withdrawal from ATM
28,9283,4938.15,Refund,2025-07-15,Refund for returned item
29,9311,188.85,Payment,2024-11-06,Payment via cash
30,8552,445.05,Payment,2024-04-17,Payment via credit card
31,2700,434.47,Purchase,2023-09-05,Purchase from online store
32,7812,4807.85,Payment,2025-04-17,Payment via bank transfer
33,5928,3089.22,Payment,2024-06-16,Payment via mobile app
34,252,3935.61,Purchase,2024-09-14,Purchase from clothing
35,1672,3850.22,Purchase,2025-02-05,Purchase from electronics
36,629,3275.18,Purchase,2024-01-29,Purchase from clothing
37,5966,675.9,Refund,2023-10-02,Refund for returned item
38,729,3340.39,Payment,2023-11-01,Payment via bank transfer
39,7389,1179.02,Deposit,2024-08-29,Check deposit
40,8811,4950.14,Refund,2023-09-25,Refund for returned item
41,7770,1362.81,Purchase,2024-06-07,Purchase from coffee shop
42,7822,2300.88,Payment,2025-04-26,Payment via bank transfer
43,8439,1615.31,Deposit,2025-05-25,Check deposit
44,1107,3494.04,Payment,2024-12-26,Payment via credit card
45,3019,244.93,Deposit,2023-12-08,Check deposit
46,8609,3717.68,Refund,2025-06-13,Refund for returned item
47,5207,3165.09,Payment,2025-06-06,Payment via cash
48,3909,3616.7,Refund,2025-06-11,Refund for returned item
49,9836,428.56,Refund,2025-07-16,Refund for returned item
50,9138,1774.76,Refund,2024-03-24,Refund for returned item
51,3582,3581.18,Deposit,2023-10-09,Check deposit
52,1927,236.49,Purchase,2024-12-01,Purchase from electronics
53,6329,1507.7,Purchase,2023-11-30,Purchase from clothing
54,7483,1806.12,Purchase,2024-07-13,Purchase from clothing
55,6741,91.41,Refund,2024-12-26,Refund for returned item
56,6928,13.3,Deposit,2025-04-08,Check deposit
57,8498,3069.53,Payment,2023-09-03,Payment via credit card
58,8844,2131.54,Refund,2025-05-19,Refund for returned item
59,3963,1297.23,Payment,2024-05-10,Payment via mobile app
60,3548,3885.89,Deposit,2024-02-16,Check deposit
61,3036,3522.84,Purchase,2024-02-07,Purchase from electronics
62,251,137.27,Withdrawal,2023-08-27,Cash withdrawal from ATM
63,4097,2400.7,Purchase,2024-11-21,Purchase from gas station
64,8900,1122.32,Refund,2025-03-05,Refund for returned item
65,6016,948.03,Refund,2025-04-22,Refund for returned item
66,6166,1332.7,Refund,2024-03-14,Refund for returned item
67,9476,136.79,Deposit,2024-06-06,Check deposit
68,6533,4343.6,Payment,2025-02-15,Payment via cash
69,8359,555.44,Purchase,2025-03-13,Purchase from electronics
70,4939,3698.08,Refund,2024-08-07,Refund for returned item
71,4304,2628.45,Deposit,2025-01-15,Check deposit
72,7072,4339.15,Withdrawal,2024-05-29,Cash withdrawal from ATM
73,6248,251.17,Purchase,2024-02-23,Purchase from electronics
74,7383,2136.78,Withdrawal,2025-03-27,Cash withdrawal from ATM
75,3158,2648.59,Deposit,2023-11-25,Check deposit
76,4610,4587.37,Deposit,2024-07-19,Check deposit
