TRANSACTION_ID,CUST_ID,AMOUNT,TRANSACTION_TYPE,TRANSACTION_DATE,DESCRIPTION
1,6523,3030.41,Refund,2023-11-16,Ask child owner image.
2,1321,7557.81,Credit,2024-11-12,Control effect attack it.
3,1407,8078.73,Transfer,2023-02-19,Less base opportunity character despite.
4,8571,8826.4,Withdrawal,2021-09-08,Hot push street begin and build.
5,1403,1752.69,Credit,2020-09-09,Model set hour hospital year.
6,395,8844.14,Deposit,2020-09-26,Public fact material yet.
7,2985,4629.86,Deposit,2021-12-31,Major water nearly remain.
8,3984,8657.31,Debit,2021-07-31,Run situation society among contain stage daughter color.
9,4032,8972.13,Deposit,2025-06-26,Interview medical area both suddenly radio brother discussion.
10,7735,686.46,Deposit,2021-05-05,List chair large support on plant head many.
11,8795,8831.85,Transfer,2021-02-23,Relationship back wind.
12,7348,1375.9,Withdrawal,2023-05-24,Key where social various position item.
13,5259,5869.71,Deposit,2021-11-11,Air them necessary only.
14,34,9985.08,Withdrawal,2022-01-07,Carry agent seven argue chair place so peace.
15,9989,6428.32,Debit,2021-05-28,Size reduce pass season security crime power.
16,2302,8084.29,Transfer,2023-02-04,Little deep either become child focus.
17,6927,8514.75,Deposit,2021-01-20,Use choose head box.
18,3146,8678.96,Debit,2021-11-26,Mention however throughout middle course generation police above.
19,9251,3285.26,Transfer,2023-08-16,Parent stay soon yet nature film.
20,1083,8715.36,Withdrawal,2025-03-30,Skin already arm imagine whether PM evening will.
21,9266,4116.46,Withdrawal,2023-04-21,Under husband hold spend nearly.
22,6137,7088.9,Transfer,2025-06-05,Country air responsibility without.
23,9807,2350.15,Debit,2021-07-28,Toward station team within however knowledge good.
24,4074,1014.59,Withdrawal,2021-07-21,Heavy glass over receive old use surface south.
25,2707,8382.59,Withdrawal,2024-04-03,Probably along seat clear like.
26,1933,2893.28,Debit,2025-01-27,Continue board all myself note common anything.
27,4258,7704.98,Transfer,2021-09-13,Financial others rather the treatment race.
28,3858,2938.84,Deposit,2023-03-20,Live near size knowledge term.
29,4814,8246.38,Credit,2021-04-07,Possible by measure describe exactly create nice.
30,7513,749.53,Deposit,2024-04-05,Various deal write administration plan.
31,5125,3917.2,Withdrawal,2024-11-13,Others station suddenly now outside.
32,782,1112.45,Withdrawal,2022-12-17,History skin war wish.
33,2229,1840.73,Withdrawal,2022-06-18,Tend participant per.
34,8900,8587.79,Credit,2025-07-18,Minute voice send attack.
35,3153,7975.84,Transfer,2024-07-22,Why gas thank whether say teach.
36,5555,1881.16,Withdrawal,2025-03-08,Base summer necessary memory outside.
37,5568,1868.87,Withdrawal,2023-11-05,Some provide within top another born keep.
38,3737,9210.38,Refund,2024-02-26,Investment same level probably tend.
39,3013,6901.34,Refund,2021-12-18,Watch small industry author shoulder law month everybody.
40,2153,8210.56,Credit,2021-04-11,Before mind include heavy.
41,5015,2253.59,Credit,2022-04-05,Team listen various first property.
42,2792,4944.86,Deposit,2024-01-26,Method agreement campaign bad.
43,3054,9430.62,Debit,2024-03-08,Attorney between civil table.
44,818,1410.2,Credit,2021-06-20,Day sometimes marriage by degree yourself less.
45,6759,1326.18,Withdrawal,2024-09-08,Clearly quickly tree present race several.
46,7084,9393.36,Credit,2024-05-29,Fly throughout end hundred low I actually.
47,3106,2154.26,Withdrawal,2024-06-01,Act store security hope realize Mrs.
48,9744,2440.27,Transfer,2025-02-09,Threat name present along.
49,3298,6308.11,Credit,2025-07-27,Lose here black member.
50,2229,9583.38,Refund,2024-08-01,Free blue event purpose vote during.
51,2110,9383.58,Deposit,2020-08-09,Garden maintain believe example.
52,6575,4913.85,Withdrawal,2023-06-18,Research arrive necessary tax establish.
53,9497,4091.37,Refund,2023-12-12,Traditional those growth series.
54,9205,8778.78,Debit,2020-12-14,We thank as.
55,1552,2489.14,Debit,2025-05-17,Whose various plant its wrong.
56,1512,7382.78,Withdrawal,2023-01-27,Take involve believe old page give continue.
57,8286,1129.03,Transfer,2021-05-27,Economic news account note among should.
58,5385,5478.43,Deposit,2023-05-12,Morning speak no amount thousand.
59,4166,1108.49,Transfer,2022-10-06,Trial us hard city.
60,7336,3508.08,Debit,2020-11-17,Discuss own quite couple.
61,6006,8475.33,Transfer,2024-11-03,Employee human bar course study spring apply.
62,2410,5246.7,Debit,2021-05-24,Score certainly soldier foreign beat pass new.
63,7451,4633.54,Transfer,2022-12-19,Travel medical federal eye about kid.
64,2645,4874.37,Deposit,2023-12-26,Employee direction various center laugh.
65,7529,3131.94,Debit,2021-08-20,Management identify smile exist wish movement.
66,4062,2342.38,Debit,2024-05-19,Think enter any defense factor subject heavy.
67,1057,7554.35,Refund,2020-08-16,Compare authority deal every yeah story song environmental.
68,3783,3939.83,Credit,2024-09-28,Model heavy prepare goal.
69,2899,6532.38,Deposit,2024-04-03,Western drop family ten player.
70,4232,5808.77,Refund,2023-02-01,Light hand approach cut five number.
71,3269,3745.13,Refund,2024-08-07,Easy skin society learn.
72,4250,5152.23,Transfer,2021-12-20,Decide open war family catch political.
73,9738,473.88,Withdrawal,2022-07-11,Worry history clear thousand price.
74,618,5692.26,Deposit,2025-02-12,Forget rule plant resource.
75,9299,9107.73,Withdrawal,2023-07-24,Article summer whose force woman.
76,4018,8068.19,Withdrawal,2021-09-30,This allow still here floor.
77,8582,5055.14,Credit,2021-02-20,Create project picture couple.
78,9056,8708.48,Deposit,2022-03-24,Particularly finally act fund.
79,5015,9151.12,Deposit,2024-10-03,Want interview treatment or side.
80,7984,1239.48,Credit,2021-04-13,Man quality school out save.
81,8616,8625.7,Withdrawal,2025-05-15,Minute Mrs every attention.
82,7117,5281.05,Deposit,2022-02-08,Few whom seek low.
